Year,Month,Day,Hour,PM2.5,Temperature
2010,1,1,0,170,-11
2010,1,1,1,149,-12
2010,1,1,2,154,-11
2010,1,1,3,164,-14
2010,1,1,4,NA,-12
2010,1,1,5,NA,-10
2010,1,1,6,NA,-9
2010,1,1,7,NA,-9
2010,1,1,8,NA,-9
2010,1,1,9,NA,-8
2010,1,1,10,NA,-7
2010,1,1,11,NA,-5
2010,1,1,12,NA,-5
2010,1,1,13,170,-3
2010,1,1,14,149,-2
2010,1,1,15,154,-1
2010,1,1,16,164,-2
2010,1,1,17,NA,-3
2010,1,1,18,NA,-5
2010,1,1,19,NA,-4
2010,1,1,20,NA,-5
2010,1,1,21,NA,-5
2010,1,1,22,NA,-5
2010,1,1,23,NA,-5
2010,1,2,0,129,-4
2010,1,2,1,148,-4
2010,1,2,2,159,-5
2010,1,2,3,181,-5
2010,1,2,4,138,-5
2010,1,2,5,109,-6
2010,1,2,6,105,-6
2010,1,2,7,124,-5
2010,1,2,8,120,-6
2010,1,2,9,132,-5
2010,1,2,10,140,-5
2010,1,2,11,152,-5
2010,1,2,12,148,-5
2010,1,2,13,164,-5
2010,1,2,14,158,-5
2010,1,2,15,154,-5
2010,1,2,16,159,-5
2010,1,2,17,164,-5
2010,1,2,18,170,-5
2010,1,2,19,149,-5
2010,1,2,20,154,-5
2010,1,2,21,164,-5
2010,1,2,22,156,-6
2010,1,2,23,126,-6
2010,1,3,0,90,-6
2010,1,3,1,63,-6
2010,1,3,2,65,-7
2010,1,3,3,55,-7
2010,1,3,4,65,-7
2010,1,3,5,83,-8
2010,1,3,6,91,-8
2010,1,3,7,86,-9
2010,1,3,8,82,-9
2010,1,3,9,86,-9
2010,1,3,10,78,-9
2010,1,3,11,98,-9
2010,1,3,12,107,-9
2010,1,3,13,90,-9
2010,1,3,14,96,-9
2010,1,3,15,95,-9
2010,1,3,16,86,-9
2010,1,3,17,70,-9
2010,1,3,18,61,-9
2010,1,3,19,53,-9
2010,1,3,20,71,-9
2010,1,3,21,72,-10
2010,1,3,22,76,-9
2010,1,3,23,73,-11
2010,1,4,0,79,-12
2010,1,4,1,58,-9
2010,1,4,2,25,-10
2010,1,4,3,26,-11
2010,1,4,4,28,-11
2010,1,4,5,26,-12
2010,1,4,6,20,-12
2010,1,4,7,29,-13
2010,1,4,8,26,-13
2010,1,4,9,27,-13
2010,1,4,10,27,-12
2010,1,4,11,25,-12
2010,1,4,12,29,-11
2010,1,4,13,32,-10
2010,1,4,14,28,-10
2010,1,4,15,29,-9
2010,1,4,16,30,-9
2010,1,4,17,30,-11
2010,1,4,18,28,-11
2010,1,4,19,26,-12
2010,1,4,20,31,-12
2010,1,4,21,33,-13
2010,1,4,22,29,-13
2010,1,4,23,31,-15
2010,1,5,0,30,-17
2010,1,5,1,34,-18
2010,1,5,,27,-19
2010,1,5,,25,-18
2010,1,5,,28,-19
2010,1,5,,28,-16
2010,1,5,6,27,-16
2010,1,5,7,27,-16
2010,1,5,8,27,-16
2010,1,5,9,29,-15
2010,1,5,10,36,-14
2010,1,5,11,30,-13
2010,1,5,12,27,-12
2010,1,5,13,39,-11
2010,1,5,14,41,-11
2010,1,5,15,33,-11
2010,1,5,16,50,-11
2010,1,5,17,56,-11
2010,1,5,18,59,-11
2010,1,5,19,60,-13
2010,1,5,20,84,-12
2010,1,5,21,106,-18
2010,1,5,22,66,-13
2010,1,5,23,50,-16
2010,1,6,0,56,-17
2010,1,6,1,77,-14
2010,1,6,2,50,-14
2010,1,6,3,44,-14
2010,1,6,4,27,-14
2010,1,6,5,28,-14
2010,1,6,6,21,-14
2010,1,6,7,25,-15
2010,1,6,8,20,-14
2010,1,6,9,29,-13
2010,1,6,10,34,-12
2010,1,6,11,42,-11
2010,1,6,12,28,-10
2010,1,6,13,36,-10
